Year,STUDENT_LEVEL,Country,location,Capital City
2017,UG,Argentina,"[60.00W,36.30S]",Buenos Aires
2018,UG,Argentina,"[60.00W,36.30S]",Buenos Aires
2018,UG,Argentina,"[60.00W,36.30S]",Buenos Aires
2018,UG,Australia,"[149.08E,35.15S]",Canberra
2016,UG,Australia,"[149.08E,35.15S]",Canberra
2018,UG,Australia,"[149.08E,35.15S]",Canberra
2018,UG,Australia,"[149.08E,35.15S]",Canberra
2015,UG,Australia,"[149.08E,35.15S]",Canberra
2018,UG,Australia,"[149.08E,35.15S]",Canberra
2015,UG,Australia,"[149.08E,35.15S]",Canberra
2018,UG,Australia,"[149.08E,35.15S]",Canberra
2017,UG,Australia,"[149.08E,35.15S]",Canberra
2017,UG,Bahamas,"[77.20W,25.05N]",Nassau
2017,UG,Bahamas,"[77.20W,25.05N]",Nassau
2016,UG,Bahamas,"[77.20W,25.05N]",Nassau
2015,UG,Bahamas,"[77.20W,25.05N]",Nassau
2015,UG,Bahamas,"[77.20W,25.05N]",Nassau
2016,UG,Bahamas,"[77.20W,25.05N]",Nassau
2018,UG,Bahamas,"[77.20W,25.05N]",Nassau
2018,UG,Bangladesh,"[90.26E,23.43N]",Dhaka
2015,UG,Bangladesh,"[90.26E,23.43N]",Dhaka
2018,UG,Bangladesh,"[90.26E,23.43N]",Dhaka
2016,UG,Bangladesh,"[90.26E,23.43N]",Dhaka
2017,UG,Bangladesh,"[90.26E,23.43N]",Dhaka
2017,UG,Bangladesh,"[90.26E,23.43N]",Dhaka
2015,UG,Belgium,"[04.21E,50.51N]",Bruxelles-Brussel
2017,UG,Belgium,"[04.21E,50.51N]",Bruxelles-Brussel
2018,UG,Belgium,"[04.21E,50.51N]",Bruxelles-Brussel
2016,UG,Belgium,"[04.21E,50.51N]",Bruxelles-Brussel
2018,UG,Belgium,"[04.21E,50.51N]",Bruxelles-Brussel
2017,UG,Belgium,"[04.21E,50.51N]",Bruxelles-Brussel
2017,UG,Bolivia,"[68.10W,16.20S]",La Paz
2017,UG,Bolivia,"[68.10W,16.20S]",La Paz
2018,UG,Bolivia,"[68.10W,16.20S]",La Paz
2018,UG,Brazil,"[47.55W,15.47S]",Brasília
2018,UG,Brazil,"[47.55W,15.47S]",Brasília
2017,UG,Brazil,"[47.55W,15.47S]",Brasília
2017,UG,Brazil,"[47.55W,15.47S]",Brasília
2018,UG,Brazil,"[47.55W,15.47S]",Brasília
2016,UG,Brazil,"[47.55W,15.47S]",Brasília
2016,UG,Brazil,"[47.55W,15.47S]",Brasília
2017,UG,Brazil,"[47.55W,15.47S]",Brasília
2018,UG,Brazil,"[47.55W,15.47S]",Brasília
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2015,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2016,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2016,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2016,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2015,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2016,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2015,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2016,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2018,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2017,UG,Canada,"[75.42W,45.27N]",Ottawa-Gatineau
2015,UG,Chile,"[70.40W,33.24S]",Santiago
2018,UG,Chile,"[70.40W,33.24S]",Santiago
2016,UG,Chile,"[70.40W,33.24S]",Santiago
2018,UG,Chile,"[70.40W,33.24S]",Santiago
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
